,generated_summary,oracle,idxes
0,"The Honourable Chief Justice Bayda                     The Honourable Mr. Justice Lane VANCISE J.A.    The appellant appeals the sentence imposed by the trial judge after a trial where he was found guilty of assault contrary to s. 267(1)(b) of the Code.
He was fined $1200, with a surcharge of $120 and placed on probation for 12 months.
The sole issue on the sentence appeal is whether the trial judge erred in not ordering an unconditional discharge in the circumstances of this essentially domestic altercation.
The appellant and his spouse arrived at the Avenue Hotel parking lot in Prince Albert where they by chance encountered his spouse's former husband, John Watson.
He is a person of good character who made an error in judgment.
The offence is not one that requires an element of general deterrence to deter others.
There will therefore be an order setting aside the conviction and the determination of guilt and substituting therefore an absolute discharge.
If the fine and surcharge imposed have been paid, the sums so paid shall be remitted to the appellant.    DATED at the City of Regina, in the Province of Saskatchewan, this 17th day of January, A.D. 1994.
VANCISE J.A. I concur BAYDA C.J.S. I concur LANE J.A.","38 year old truck driver with no previous criminal record was found guilty of assault contrary to ss.267(1)(b) of the Code.
He was fined $1200, with a surcharge of $120 and placed on probation for 12 months.An altercation took place after his spouse's former husband had threatened his spouse and her children.
He was dismissed from his employment as a truck driver immediately after his conviction because he could not gain entry into the United States, because he now had a criminal record.
HELD: Conviction set aside; absolute discharge granted.","[40, 38, 1, 2, 39, 3, 37, 36, 4]"
1,"Q.B.                                                  A.D. 1994 No. 542                                     J.C.S.                  IN THE COURT OF QUEEN'S BENCH                  JUDICIAL CENTRE OF SASKATOON BETWEEN: TRENT KOEHLER and CINDY KOEHLER                                                      APPLICANTS                                                    (PLAINTIFFS)                            - and - PLEASUREWAY SALES (1973) LTD. and BEN RATKE                                                     RESPONDENTS                                                    (DEFENDANTS) AND BETWEEN: TRENT KOEHLER and CINDY KOEHLER                                                      APPLICANTS                                    (DEFENDANTS BY COUNTERCLAIM)                            - and - PLEASUREWAY SALES (1973) LTD.                                                      RESPONDENT                                     (PLAINTIFF BY COUNTERCLAIM) K.J.W. Sandstrom for the applicants J.H. Gillis for the respondents JUDGMENT                                          HRABINSKY J. May 27, 1994            This is an application for an order setting aside the default judgment and writ of execution issued against the applicants (plaintiffs, defendants by counterclaim) pursuant to Queen's Bench Rule 346 and for an order setting aside all garnishee summonses issued pursuant to Queen's Bench Rule 441 and s. 10 of The Attachment of Debts Act, R.S.S. 1978, c. A- 32.                              FACTS           The applicants, acting on their own but with some obvious assistance from a solicitor in the preparation of their statement of claim, commenced an action on February 23, 1994 against the respondents who were represented by counsel.            On March 8 the applicants were served with a notice of intention to defend and on March 14 were served with a statement of defence and counterclaim.            On March 18 the respondents filed two separate affidavits for garnishee summons before judgment naming Bank of Nova Scotia and Saskatoon Credit Union respectively as garnishees.","1)Application by plaintiffs (defendants by counterclaim) for an order setting aside the default judgment, writ of execution and 2)garnishee summonses issued against them.
3)Application by respondents (plaintiffs by counterclaim) for payment out of the monies garnisheed.
HELD: 1)Application allowed.
At the time that the applicants were served with the statement of defence and counterclaim, they were not represented by counsel nor did they know that they had to serve and file a statement of defence to the counterclaim.
However, immediately upon being served with the garnishee summons they contacted solicitors.
The application to set aside the default judgment was made as soon as possible after the judgment came to the attention of the applicants who have explained to the satisfaction of the court their failure to defend the counterclaim.
The applicants have clearly shown that they have a good defence on the merits to the counterclaim.
The applicants did not delay their application to set aside the judgment so that it cannot be argued that delay will cause irreparable injury to the respondents.
2)Application to set aside guarishee summons dismissed.
There has been strict compliance with s.3(2) of the Act.
The affidavits filed by the applicants challenging the affidavit for garnishee summons have no bearing on whether the garnishee summons should be set aside.
It is not the function of a judge to look into the merits of the case on such an application.
3)Application for payment out of monies garnisheed dismissed.
Section 14(1) of The Attachment of Debts Act provides that no order shall be made for payment out of any money paid into court by the garnishee when a garnishee summons issues prior to judgment until the plaintiff has recovered a judgment against the defendant.
Since the judgment has been set aside the application for payment out is premature and is therefore dismissed without prejudice to reapply.",[0]
2,"               QUEEN’S BENCH FOR SASKATCHEWAN
IN BANKRUPTCY AND INSOLVENCY
                                                                                                         Citation: 2009 SKQB 201 
Docket:                     Court No. 1308 Estate No. 23-022447
Judicial Centre:         Regina
VERONICA LEAY ARMBRUSTER
                                                                                                                              APPLICANT
[9]               Counsel for the trustee says the Zelmak, supra judgment is distinguishable from this case on the facts because the trustee there was discharged whereas here the trustee is not.
That argument supposes that it is appropriate in summary bankruptcy administration proceedings for a trustee to withhold a timely application for discharge and await a market enhancement of the value of non-exempt equity in homestead property.
I do not take Zemlak to stand for such a proposition.
On the contrary, I take it to mean that only the value of non-exempt homestead equity existing at the time of the bankrupt’s application for discharge can be attached by the trustee.
         I will make the order applied for by the applicant including the order for costs.
In so doing, I do not say that the trustee may not realize upon the value of her non-exempt equity in the homestead, but as at what date and to what extent remain open questions which can be addressed upon an application by the trustee for a discharge.
                                                                                                C.R. WIMMER","A bankruptcy petition against the applicant was filed on May 18, 1995 and a receiving order with respect to her property issued the following month. KPMG Inc. (formerly Peat Marwick Thorne Inc.) is the trustee of her bankrupt estate.
The applicant received an absolute discharge on March 8, 1996.
The trustee has never applied for a discharge.
The trustee did not oppose the applicant's discharge and in its report dated February 8, 1996 stated that the there were no facts, matters or circumstances that would justify the Court in refusing an unconditional order of discharge.
Now, more than 13 years later, there remains an unresolved issue concerning non-exempt equity in the applicant's homestead.
The applicant applies for relief under s. 37 of the Bankruptcy and Insolvency Act for an order reversing the trustee's decisions and restoring the property interest to her.
The Court reviewed the relevant case law and found that only the value of non-exempt homestead equity existing at the time of the bankrupt's application for discharge can be attached by the trustee.
HELD: The Court made the order applied for by the applicant including an order for costs.","[68, 1, 0, 66, 2, 3, 65, 67, 4, 64, 63, 5, 62, 6]"
3,"IN THE PROVINCIAL COURT OF SASKATCHEWAN
Citation: 2013 SKPC 094
No one                                                                                                                        For the parents
The children are identified by initials for the purposes of protecting their identity.
THE LAW
DECISION
[8]               The material filed confirms that all individuals involved in this matter, including the proposed persons of sufficient interest, are members of the R[...]
Nechapanuk Child and Family Services Inc. is an aboriginal agency that represents that First Nation in the administration of the Act at R[...]
[9]               The affidavit of Ms. McKay goes on to state that the intention of the agency is for the children to remain in the care of the present foster parents as long as the person of sufficient interest Order, if granted, remains in place.
[17]           Pursuant to s. 37(5), I order that the father shall have reasonable access on reasonable notice to each of the children.
To avoid any possibility of the father, who was not present at the hearing, being unaware of what occurred there, I also order that the agency ensure that a copy of this written decision be personally served upon him within fifteen days of receipt of it.  
Dated at Saskatoon, Saskatchewan, this 11th day of July, 2013.
                                                                                                                                  B.G. Morgan, J","A Child and Family Services agency applied for an order: 1) declaring that the foster parents of three children have sufficient interest pursuant to s. 23 of The Child and Family Services Act; and 2) granting the foster parents custody pursuant to s. 37(1)(b).
The children's mother was deceased and their father indicated that he was unable to meet his children's needs.
The foster parents intended to continue to allow the father parenting time with the children.
They also indicated that they would care for the children until each is 18 or until the order was terminated.
The father consented to a draft order agreeing the children should be in the custody of the Minister and that he have reasonable access.
The agency amended their application for the custody order to be made in favour of the foster parents rather than the Minister.
HELD: The children were in need of protection pursuant to s. 11(b).
The Court found that the agency's amended application was appropriate and preferred to a temporary order in favour of the Minister.
Also, the Court noted that s. 39 allows for amendments of orders if circumstances change.
The Court, therefore, ordered that the foster parents have custody even though the father only indicated his consent to the order in favour of the Minister.
The agency was required to ensure that a copy of the written decision was personally served on the father.","[0, 43, 67, 44, 13, 1, 66, 65, 12, 45, 64, 27, 46]"
4,"                QUEEN’S BENCH FOR SASKATCHEWAN
                                                                      Citation: 2010 SKQB 343
Docket:                     Q.B.G. No. 247 of 2008
Judicial Centre:         Saskatoon
SEAN SCHROEDER, ALLISTER CURTIS VEINOT, and ELEANORE SMIROLDO, as Litigation Guardian for Eden Bobyk
                                                                                                                                        Plaintiffs
Unless otherwise ordered by a judge, the service and filing of a notice of appeal stays the execution of any other judgment or order pending the disposition of the appeal.
Where leave to appeal from an interlocutory order is granted, the judge hearing the application may give directions as to staying proceedings.
Where the execution of a judgment or order is stayed pending an appeal, all further proceedings in the action, other than the issue of the judgment and the taxation of costs under the judgment, are stayed unless otherwise ordered.
[9]                  The fact that leave to appeal was granted on one aspect of the certification order is sufficient to engage Rule 15 and stay the entire judgment pending the disposition of the appeal.
In the event that the plaintiffs wish to apply to lift the stay, they may do so by applying to “a judge”, which, in these circumstances is a judge of the Court of Appeal.
            Accordingly, I find that the certification order is stayed pending appeal, subject to the Court of Appeal lifting the stay should it see fit.
                                                                                                                     M.D. POPESCUL","A class action was certificated at Queen's Bench on the basis of breaches of The Consumer Protection Act and a breach of duty of care.
The defendants were granted leave from the Court of Appeal to appeal the portion of the certification order dealing with alleged breaches of The Consumer Protection Act only.
The certification on the basis of duty of care was upheld.
As a result, a situation existed where the class action process could continue on only part of the claim until the appeal of consumer protection act issues was heard.
HELD: Rule 15 of The Court of Appeal Rules is engaged and the entire certification judgment is stayed pending the disposition of the appeal.
If the plaintiffs wish to apply to lift the stay they must do so to a judge of the Court of Appeal.","[0, 41, 40, 1, 39, 2, 38, 3, 37, 4, 5, 36, 35]"
5,"She then studied at the Lebret Indian Residential School.
When she was in Grade 8, she left the school for the city.
While she was in Regina she enrolled in an upgrading adult basic education program for non-status Indians where she received the equivalent of her grade XI.
For the period of nine months, I assess damages under this head at $1,325.00. (c)  Canada Pension Plan          Gabriel Dumont Institute was required by law to contribute to the Canada Pension on behalf of the employee.
Gabriel Dumont Institute's contribution for nine months would have been $564.00, and I assess damages under this head in that amount. (d)  Annual Leave          Gordon had accumulated 19.871 days of combined time- in-lieu and annual leave.
Gordon is to be compensated for this time.
This payment is not disputed by Gabriel Dumont Institute. (e)  Pre-Judgment Interest          Therefore damages are to be assessed as follows: Damages in lieu of notice               $  26,514.00 Pension Benefits                                1,325.00 Canada Pension Plan                           564.00 Holiday pay                                        2,334.93 TOTAL                                            $30,737.93          Gordon shall have judgment against Gabriel Dumont Institute for $30,737.93, plus costs.
In addition, I award pre-judgment interest pursuant to The Pre-Judgment Interest Act, S.S. 1984-85-86, c. P-22.2, on the sum of $30,737.93, from the date of Gordon's dismissal.                                                             J.","A claim for wrongful dismissal.
The position of executive secretary was discontinued for economic reasons.
HELD: The plaintiff was awarded $30,737.93 plus costs plus pre-judgment interest.
1)The plaintiff had taken all reasonable steps to mitigate her losses.
The duty is to take such steps as a reasonable person would take in his own interests to maintain his income and position in his industry, trade or profession.
The former employer has no right to expect that the former employee will accept a lower paying alternative employment with doubtful prospects.
2)Reasonable notice would have been ten months.
She had been erroneously requested to take 19.871 days as annual leave and therefore actually received one months' notice.
Nine months salary at $26,514.00 plus $1,325 for lost pension benefits and $564 for the Canada Pension Plan were awarded.
She was to be compensated for 19.871 days of combined time in lieu and annual leave.","[77, 1, 75, 76, 74, 3, 2, 73]"
6,"          THE COURT OF APPEAL FOR SASKATCHEWAN
                        Coram:  Vancise, Gerwing & Lane  JJ.A.
HENRY KENNETH RIPPLINGER and HKR COLLECTIONS FINE ART LIMITED
APPELLANTS 
- and - 
THE SASKATCHEWAN HUMAN RIGHTS COMMISSION
RESPONDENT
Mr. Hal B. Wellsch for the Appellants
The Board acted entirely within the terms of its original order, an order in which it had retained jurisdiction, to confirm compliance with the order and which had been confirmed by this Court.
The original order cannot be challenged at this late date.
The Board acted within jurisdiction in hearing evidence which went to the issue of whether the appellant consulted or did not consult with the Commission and to determine whether the renovations completed by the appellant complied with the order with the result that the appellant ceased to contravene the Code.
The extent of the order, that is whether it was confined to the external access of the property or to other “facilities and services” and whether it had been complied with is the very question the Board reserved jurisdiction to determine.
In the result the appeal is dismissed with cost on double Column V.
[2](Ottawa:  National Research Council of Canada, 1995).
[3]Ryan v. Ripplinger (1993), 20 C.H.R.R. D/427 (Sask. Bd. Inq.) at para.
[5]Ryan v. Ripplinger (May 29, 1998), (Sask. Bd. Inq.) at p. 11.
[6](1999), 1999 CanLII 12740 (SK QB), 183 Sask. R. 139 at para.","A complaint was made in 1991 to the Human Rights Commission that the Gallery could only be entered by stairs and was inaccessible to wheelchair users.
A Board of Inquiry appointed under the Saskatchewan Human Rights Code concluded in 1993 that the appellant's complex impeded physical access to the premises, facilities and services and lacked proper amenities for persons who are wheelchair-reliant.
The Board specifically ordered it remained seized of the matter and the hearing would be reconvened to hear further evidence.
The Court of Queen's Bench confirmed the Gallery continued to discriminate against disabled members of the public by failing to provide access and accessible services and ordered the appellant to construct or renovate washrooms to meet requirements of the National Building Code of Canada.
The Court of Appeal set aside the Queen's Bench decision and restored the Board's decision.
During those proceedings, the property was transferred to HKR, which undertook further renovations.
In 1997 upon request by the Commission, the Board reconvened and concluded there had not been compliance, which was confirmed by the Court of Queen's Bench.
This was not appealed.
An appeal of the Board's 1998 order to construct or renovate the bathrooms was dismissed and it was found the Board did not err in adding HKR as a party nor exceeded its jurisdiction in finding the appellant had not complied with the original order.
The appellant appealed that judgment principally on the ground of error in not finding the Board exceeded its jurisdiction in making the order as the original order did not include a requirement that it construct wheelchair accessible washrooms.
HELD: The appeal was dismissed with costs on double Column V.
The Queen's Bench judge did not err in finding the appellant could not, at that stage of proceedings, question the original order made by the Board in 1993 (ordering the appellant to cease impeding physical access to the premises, facilities and services).
The issue had been previously determined and the order was reinstated by the Court of Appeal.
The Board acted entirely within the terms of its original order.
It retained jurisdiction to confirm compliance.
The original order cannot be challenged at this late date.","[60, 1, 2, 59, 58, 4, 57, 3, 56, 5, 55, 6, 7, 8, 53, 52, 54]"
7,"                                     PROVINCIAL COURT OF SASKATCHEWAN
                                                          IN THE MATTER OF
                                                                     The Law
3.                     Since the defendant turned across the path of the Ford Tempo, and since the two vehicles came into collision, it would appear prima facie that he failed to yield as he was required to do by Section 50(3).
4.                     The right of way, however, is not absolute.
“the law does not require of any driver that he should exhibit perfect nerve and presence of mind, enabling him to do the best thing possible.
It does not expect men to be more than ordinary men.
Drivers of vehicles cannot be required to regulate their driving as if in constant fear that other drivers who are under observation, and apparently acting reasonably and properly, may possibly act at a critical moment in disregard of the safety of themselves and other users of the road.
But the law does insist upon a reasonable amount of skill in the handling of a vehicle which is a potential source of danger to other users of the road ... the question always is ‘What would an ordinary prudent person in the position of the plaintiff have done in relation to the event complained of?’”
                                                                   Conclusion
                                                                                                 H.W. Goliath, Provincial Court Judge","A charge of failing to yield, contrary to s.50(3) of the Highway Traffic Act.
The collision caused extensive damage to the defendant's vehicle and totaled the second.
Two passengers were knocked unconscious.
One sustained a bruised collar bone and the other required stitches to the head.
HELD: The defendant was found not guilty.
His action did not fall short of the standard of care demanded of ordinary prudent drivers faced with similar circumstances.
The defence of due diligence was established with respect to the failing to yield.
The second requirement of s.50(3) is that the defendant shall not make a turn until he has afforded a reasonable opportunity to the approaching vehicle to avoid a collision.
It was found as a fact that that when he commenced his turn, any lawfully vehicle approaching from the opposite direction would have been able to avoid the collision.
 1)Since the defendant turned across the path of the on-coming vehicle and since they came into collision, it would appear prima facie that he failed to yield as required by s.50(3).
The right of way, however, is not absolute.
As most regulatory offences s. 50(3) is an offence of strict liability which means that once it is established the defendant did the prohibited act, it is open to him to establish a defence of due diligence on a balance of probabilities. 2)Speeding by the second vehicle was a contributing factor.
It could not be determined whether the second vehicle had only its parking lights on.
Neither road nor weather conditions appeared to have been a factor.
Alcohol was not a factor.
Visibility was reasonably good given the time of day and the fact the intersection was lit by street lights.
3)When the defendant commenced his turn across the path of the second vehicle he was entitled to assume it was safe to do so as there did not appear to be any other vehicle close enough to the intersection to present a hazard.","[2, 71, 0, 65, 17, 18, 63, 19, 61, 62, 64]"
8,"The action has been abandoned as against the defendant Ruhr, and is continued by the plaintiff against the insurer, Saskatchewan Government Insurance. FACTS          On May 11, 1993, a vehicle (hereinafter referred to as the BMW) leased to Gary Semenchuck (the ""plaintiff""), was struck from behind by a vehicle owned and operated by the defendant, Christian Ruhr.
Mr. Ruhr was solely liable for the accident.
The BMW was damaged as a result of the automobile accident.          The BMW was leased to the plaintiff from Crestview Chrysler Dodge Ltd. (""Crestview"") pursuant to a standard lease agreement.
Pursuant to the terms of the lease agreement, the vehicle was to be registered in the name of Crestview.
The plaintiff was listed as the ""secondary name"" on the registration.          After the accident, the plaintiff took the BMW to a Saskatchewan Government Insurance (""SGI"")
In Lepin the court chose to reduce the damages by 30%.
In light of those facts, it cannot be said that the 20% deduction for depreciation on the exhaust system is inappropriate, and as such the 20% for depreciation is allowed.
In light of the previous findings, it is not necessary for me to determine this issue.
CONCLUSION          The plaintiff's claim against SGI is dismissed with costs to be taxed.                                                             J.","A claim for damages to the plaintiff's leased automobile arising out an accident.
The action against the defendant Ruhr had been discontinued.
An SGI adjuster appraised the damage but during the course of repairing the vehicle further damage was found.
A roving adjuster authorized the replacement of the exhaust system but deducted 20% for depreciation.
The plaintiff brought an action for reimbursement of the $503.73 arguing that SGI elected to repair or replace the exhaust system under statutory condition 8(4) of s39 of the Automobile Accident Insurance Act.
SGI took the position that as Crestview was the registered owner of the vehicle the plaintiff was not entitled to bring this action as he was not the insured within the meaning of the Act.
SGI also argued that Crestview authorized the repairs and acknowledged the 20% deduction as registered owner and that if the plaintiff paid the $503.73 he did so under his private lease contract with Crestview.
It also argued that it is entitled to deduct for depreciation in any event.
HELD: The claim against SGI was dismissed with taxed costs.
 1)An election under statutory condition 8(4) amounts to an irrevocable decision to repair regardless of costs of repairs.
Once an election is made the insurer is bound to pay or reinstate.
An insurer by its conduct may be deemed to make an election to reinstate.
The insurer's election to reinstate unilaterally creates a new contract which the insurer may not unilaterally revoke.
On the facts the insurer neither expressly nor by its conduct elected to reinstate.
The roving appraiser provided an appraisal to Crestview which included the depreciation deduction.
Crestview repaired the vehicle without advising the plaintiff. 2)The concept of waiver in insurance law encompasses an election to pay or to reinstate.
Estoppel was not applicable.
Two provisions of the Saskatchewan Act provide that SGI in certain situations is not deemed to have waived provisions of the Act.
The roving appraiser reassessed the claim and included the newly found damages.
These acts related to the appraisal of the claim and could not constitute a waiver of statutory condition 8(1).
They did not constitute an election under statutory condition 8(4).
Crestview, not SGI, took the steps to repair the vehicle.
As the plaintiff did not receive a written waiver of statutory condition 8(1) pursuant to s77 the insurer could not be deemed to have waived its option to enforce statutory condition 8(1).
 3)The exhaust system was three years old and had 46,000 km of wear.
A 20% deduction for depreciation was appropriate and therefore allowed.
 4)It was not necessary to determine whether the plaintiff was the 'insured' as defined by the Act.","[252, 249, 1, 251, 3, 245, 2, 4, 6]"
9,"E. F. Anthony Merchant, Q.C.     for the applicant (respondent) JUDGMENT                                    KLEBUC J. August 6, 1996 Sophie Landell has two parents who both love her but who demean the capability and intentions of each other.
Each parent seeks the custody of Sophie on the grounds that he or she is best able to meet Sophie's needs.
To review all of such evidence presented during the five-day trial would be unproductive and lead to a prolix judgment.
Therefore, I briefly propose to set out those facts necessary to provide a historical context and to deal with the distant past conduct of a party only to the extent the same is relevant to her or his ability to act as the custodial parent.
Presently, Tracy is unable to provide the degree of care and direction Sophie requires without significantly prejudicing her own development.
Accordingly, I award Lorne custody of Sophie.
It is my intention that Sophie sleeps in the same bed every night and receives one standard of consistent directions until the degree of consistency outlined by Clark and Snyder is relaxed by the Buckwold Centre.
In the first instance, I leave it to Tracy and Lorne to fix the prescribed  access dates and times having regard to Tracy's hours of work and Sophie's needs.
If difficulties arise in arranging appropriate access, either party may apply to this Court for further directions.          No costs are awarded to either party.","A decree nisi and an order granting custody to the mother was made in 1995.
Upon appeal the Court of Appeal directed a new trial.
Changes in circumstances included the fact that the child was developmentally delayed and required a special program.
A pediatrician testified that inconsistency in parenting approaches would further delay the child's development.
HELD: Custody was awarded to the father.
1)Each parent was a capable caregiver.
However, the father was available to provide full-time care due to an employment disability and exhibited a strong desire to do so.
The past physical abuse of his former spouse was not considered relevant as it did not affect his ability to parent the child.
2)The mother was to have weekly access on two non-consecutive days for eight hours and two hours on a third day.
The child was to sleep in the same bed every night.","[2, 101, 1, 100, 102, 97, 96, 4, 5]"
