oracle,generated_summary,jsd_hungarian
Warrant issued to search a dwelling house for weapons allegedly used in an attempted armed robbery. The affidavit in support referred to an unknown informant. Judge applied the test that the justice of the peace `must be satisfied on reasonable grounds.' Substantial compliance found and warrant upheld.,"The respondent, a justice of the peace, issued a search warrant to search a dwelling house for weapons allegedly used in an attempted armed robbery. The applicants sought an order quashing the warrant on the grounds that the said search warrant was unlawfully and invalidly issued in excess of the jurisdiction of the Respondent. HELD: The application was dismissed. 1)The information sworn in support of the application for the search warrant failed to disclose the existence of reasonable and probable grounds to believe that the items sought to be seized would be found at the location which was to be the subject of the search.  2)The respondent acted within her jurisdiction in issuing the warrant.  3)The Information was deficient in the following respects: (a)Reliable and confidential information was received that the weapons used in the attempted Armed Robbery were in the dwelling house and (b) anything that there is reasonable ground to believe will afford evidence with respect to the commission of an offence against this Act, or (d)the grounds of belief set out in the information must be such as would satisfy a reasonable man.",3.142163452554014
"The defendant lawyer was retained for the purpose of obtaining and disbursing mortgage funds. The plaintiffs, creditors of the defendant's client, sued the defendant for negligent misrepresentation, breach of trust and breach of undertaking. The defendant initially received three irrevocable letters of direction for payment of amounts owing on a construction project. When the project got into financial difficulty the defendant advised his client to seek separate counsel to deal with the creditors - suppliers. At a creditors meeting the defendant advised the creditors' counsel of the initial three letters of direction. The project was considered viable by the creditors and continued, with the defendant obtaining postponements of the three letters of direction. Further creditors' meetings were held, a Creditors' Committee struck, and subsequent letters of direction sent to the defendant by the client and certain creditors. The defendant, in acknowledging a subsequent letter of direction, made no mention of the earlier three letters, nor any explanation of 'all of the proceeds'. One member of the Committee was aware of the initial irrevocable letters of direction. On what was to be the final mortgage draw, the defendant requested and was refused a postponement of the initial three letters. With his client's consent, the defendant disbursed the funds, to pay off the initial three creditors, a mechanics' lien referred in one of the subsequent letters of direction, his legal fees and the balance as per a letter of direction received from two of three members of the Creditors' Committee. Dismissing the action, that (1) there was no negligent misrepresentation as the creditors had continued to advance supplies, not on the basis of the defendant's letter of acknowledgement, but because they considered the project viable. Further, certain other plaintiffs were not aware of the letter, and could not have relied on it. Other plaintiffs did not supply after the letter and therefore did not rely on it. The Court noted that on a balance of probabilities, the defendant's disbursement did not cause the demise of the project. At the time of the disbursement the project was still viable and the plaintiffs made their own decision to cease supplying and to lien the project;  (2) there was no breach of trust as the defendant had no fiduciary duty and had at no time acted for the plaintiffs;  and  (3) there was no breach of undertaking as the undertaking must be considered in all the circumstances, including knowledge of the plaintiffs, the other letters and meetings. The Court concluded that the member of the Creditors' Committee who was aware of the initial irrevocable letters had a duty to advise the other members. The documentation was clear that legal fees would be deducted and the Committee was also aware of the direction to pay the mechanics' lien.","HELD: The Court dismissed the claim. The Court found that the plaintiffs had not established the basis for a claim under breach of trust and could not succeed on this ground. There was no evidence that the defendant was in a fiduciary relationship with the plaintiffs, nor was he retained by the plaintiffs or purporting in any way to act for them or on their behalf. There were two other issues raised in the claim together: Breach of Trust. The plaintiffs had raised an allegation of breach on the part of the defendant; however, there is no evidence Mr. Brookes was ever in a 'fuitary relationship' with the plaintiff or was he ever retained by them or purposed in any manner to act in their behalf; and there was an allegation that the defendants were aware of possible fluctuation in the proceeds of mortgage advances and that they had not followed the instructions of his clients.",8.10383108983213
"The applicant sought an order for certiorari quashing a decision of the trial judge granting an adjournment and a prohibition from hearing the trial. In earlier hearings, the Crown and applicant had each sought new trial dates to ensure procurement of witnesses for trial. The Crown sought to subpoena the victim to testify. Due to the delay in obtaining authority to serve an out of town subpoena in New Brunswick, the Crown was unable to serve the victim until three days before trial. The victim did not learn of the trial date until the day before and was unable to attend. An adjournment was granted. The applicant contended the trial judge had exceeded his jurisdiction. Dismissing the application. It is within the jurisdiction of the trial judge to deal with the issue of adjournments in accordance with the provisions of the Criminal Code. Jurisdictional error is not to be equated with error of law. Any decision to grant an adjournment is therefore within the court's proper discretion. If a remedy exists, it is by way of an appeal and not a prerogative writ. In any event, the sequence of events was sufficient to justify the granting of an adjournment. There was neither neglect nor laches on the part of the Crown.","The applicant sought an order of prohibition and certiorari directing that Judge Archibald and any other provincial court judge cannot hear the trial of the Queen v. Joseph Glenn Jessome. HELD: The application was dismissed. 1)The Court held that the decision as to whether or not to grant an adjournment was within the jurisdiction of the judge and that any decision in that regard was an exercise of his discretion within that authority. He had the right to exercise the discretion and to be wrong.  2)It was necessary to establish a jurisdictional error by the learned Provincial Court judge in the conduct of the s16(3) inquiry on the ground that the tribunal committed an error of law in reaching that decision, or reached a conclusion different from that which the reviewing tribunal might have reached.",5.477075639054646
"The accused, a young offender, pleaded guilty to 16 counts of auto theft. He was sentenced to 6 months open custody and 2 years probation. Prior to being sentenced, he spent 13 days on remand and 2 months under house arrest under s.7.1 of the Young Offenders Act. The Crown appealed the sentence. HELD: Appeal allowed. 1)The accused was 15 years of age and had no record. He assisted the police once apprehended. 2)Although another young offender involved in these offences had received a sentence of 9 months open custody, uniformity of sentence was not a factor to be given great weight in comparing dispositions of young offenders. 3)The sentence was increased to 10 months open custody.","The accused pled guilty to 16 counts of auto theft, one count of possession of stolen auto and one count dangerous driving. He spent 13 days on remand and approximately 2 months under strict parental control on house arrest prior to receiving a disposition of six months open custody and two years probation. The Crown appeals the disposition arguing it is not fit having regard for the number of offences and the need to maintain the public's confidence in the administration of justice. HELD: Leave to appeal was granted and the appeal allowed. 1)The Youth Court judge considered the accused's age, that he had no criminal record and co-operated extensively with the police. He also took into account the very responsible approach that his father has taken throughout this whole event. 2)The Court was aware that there might not have been any further custody other than what the accused had served over the last three months or so.",2.609249021027887
"The respondent owned a warehouse and leased it to the appellant's employer. During the course of her employment, a ceiling tile fell and struck the appellant. Both the respondent and the appellant's employer were employers under the Workers' Compensation Act. The appellant received benefits under the act. She commenced the action against the respondent with the consent of the Workers' Compensation Board. The trial judge held the action barred pursuant to the act. Dismissing the appeal, that s. 18 of the Act bars actions against any employer to which Part I of the Act applies. It is not necessary that the employer be the appellant's employer.","This was an appeal from a decision of the Supreme Court which held that the action by the appellant was barred by s.18 of the Workers' Compensation Act. The appellant was employed by MacKenzies Eastern Transport Limited. She was struck by a tile which fell from the office ceiling. She received benefits under the Act. She commenced the present action against the respondent for damages with the consent of the workers' compensation board. HELD: Appeal dismissed without costs per oral reasons for judgment of Jones, J.A., Chipman and Roscoe, JJ.A. concurring. The ban is against actions of 'an employer' not 'his employer' and would appear to extend the ban to all employers to which Part I of the Act applies.",1.4779369146903971
"The plaintiffs statement of claim was served on the defendant in Ontario two days after it was issued. Two weeks later the prothonotary issued default judgment for $8,000, plus $2,880 in interest and $404.42 in costs. The defendant applied, pursuant to Civil Procedure Rule 12.06, to set aside the default judgment, on the ground that the plaintiff did not meet the requirements for obtaining a default judgment from the prothonotary or, in the alternative, on the merits that it had, by affidavit evidence, raised triable issues and provided a reasonable excuse for its failure to file a defence. Dismissing the application with costs of $1,000 to the plaintiff, that although the plaintiff ought to have sought the court's leave to take default judgment such a procedural ommission did not, in the circumstances, prejudice the defendant. Further, while there were triable issues between the parties, the defendant's failure to file a defence was neither a mistake nor an oversight, but rather a deliberate decision so as not to attorn to Nova Scotia jurisdiction, and therefore was not a reasonable excuse.","The plaintiff corporation applied to set aside its default judgment on the basis that the defendant had failed to establish any reasonable excuse for its failure to file a defence. The plaintiff had engaged Ontario counsel to apply for judgment in Nova Scotia, based on the default judgment in these proceedings, and for an order dismissing the Ontario action on the grounds of res judicata or abuse of process. On the hearing yesterday, the defendant applied pursuant to Rule 12.06 in the Court of Appeal for a stay of the action based on forum non conveniens. HELD: The application was dismissed with costs to the plaintiff in the amount of One Thousand Dollars ($1,000.00).  1)There was no evidentiary basis sufficient to persuade the court that in order to do justice between these parties, should exercise my discretion in favour of the defendant. 2)The defendant had not brought itself within the scope of the remarks of Chief Justice Cowan in Pinard and Pinard v. Bushell et al. (1975), nor did the court accept the appellant's submission that the deliberate decision not to attorn to the jurisdiction of the Nova Scotia courts should not be regarded as a reasonable excuse. 3)The court found that there were triable issues between the parties and the defendant's application was not a mistake or an oversight. It was not an omission through inadvertence or insufficient time or other pressing business.",2.3704063102669775
"The appellant employer and the respondent union are parties to a collective agreement with effect from January 1, 1994 to December 31, 1996. The collective agreement established employee salaries for that period, with annual adjustments on January 1st of each year. Shortly before the agreement was signed, the Public Sector Compensation Act was passed, which rolled back and froze public sector salaries. In a letter to the union, the employer confirmed the wage increases provided for in the agreement would be paid to the employees as a lump sum following the expiration of the legislated wage freeze. After the expiration of the wage freeze, however, the employer refused to pay the lump sum on the grounds that it would contravene the Act. The union sued the employer in the Supreme Court, claiming the lump sum or, in the alternative, damages for negligent misrepresentation. The employer applied to strike the Statement of Claim on the grounds that the union's claims were within the exclusive jurisdiction of an arbitrator. The Chambers judge dismissed the application. The employer appealed. Allowing the appeal and staying the action pending submission to arbitration as provided for in the collective agreement, that the Chambers judge erred in allowing the action to continue. Where there is a doubt about the arbitrability of a dispute, that issue should generally be determined at arbitration. This reflects the central role of arbitration in collective bargaining labour relations, recognizes that arbitration is the forum best suited to conducting the necessary inquiry, and helps ensure that no one, absent sound reasons, will be left with rights but no effective remedy.","This was an appeal of a decision by the Chambers judge to strike out the employer's statement of claim on the grounds that the union's claims were within the exclusive jurisdiction of an arbitrator. HELD: Appeal allowed. 1)The court has no jurisdiction regardless of the conclusion of the arbitrator on the question of arbitrability. The court has jurisdiction to determine whether matters addressed and governed by the collective agreement are arbitrable. 2)There is an issue as to whether the letter of July 22, 1994 is part of the Collective Agreement. The collective agreement contains an arbitration provision. It requires submission to arbitration of differences between them relating. to the interpretation, application and administration of the collective agreements. 3)There are several factual questions relevant to this issue which could not be explored on an application under Rule 14.25.",4.445243581389692
"The plaintiff alleged he was sexually assaulted and that Attorney General of Canada as employer of the administrator of the residential school was also responsible. The defendant alleged the First Nation was responsible for the administrator's conduct and applied to join the First Nation as a third party so that contribution or indemnity could be claimed. The applicant required leave under s.7 of the Contributory Negligence Act and Rule 107A(c) of the Rules of Court. HELD: Leave was granted to file a third party notice. 1)The low threshold for the establishment of a prima facie claim was met. 2)The delay would not be inordinate. The plaintiff's claim dated back to 1984. The parties were not ready for trial. No prejudice was established.  3)The third party's liability, if any, will have to be determined on a case by case basis. Each individual action brought by a former student at the residential school is different in nature. 4)The applicant was granted costs of the application against the plaintiff and the First Nation.","The plaintiff alleged that the applicant, the Attorney General of Canada, as the employer of Starr, was responsible for his conduct. HELD: The applicant was granted leave to file a third party notice in the within action, in the form of an order for costs or an order setting out time schedule for the completion of certain steps in the action. The applicant applies to join the G[…] First Nation as a party to the action brought by the plaintiff against it and Starr; so that it can claim contribution or indemnity from it if the applicant is found liable to the plaintiff. 1)The applicant requires leave of this Court under s.7 of the Contributory Negligence Act, R.S. s. 1978, c. C-31, and Rule 107A(c) of the Rules of Court. The proposed third party claim on file and the other pleadings allege material facts that, if proven, would allow the applicant to obtain the relief it seeks from the proposed party. 2)There may well be some delay by allowing third party proceedings but it will not be inordinate and prejudice or delay should be alleviated by directions (whether they are in form of a letter or order) as opposed to a dismissal of the application. There is no indication that the inherent delay in allowing third parties proceedings would result in the disappearance of any evidence, or that extra costs will be incurred by either party in redoing steps already completed or that the process will become so cumbersome and complicated as to undermine the plaintiff's claim. 3)The application for leave under s7 of The Contributory negligence act and the rules of Court should be treated the same. To attain uniformity, it seems reasonable on an application for an order granting the applicant leave to apply for leave in this action to encourage the joinder of third parties thereby averting duplication in law suits, and to minimize delay and prejudice to the applicant.",2.876794984754164
"FIAT: The parties have three children, Jill born December 1981, Luke born May 1986 and Keegan born November 1989. The respondent states that he has paid child support pursuant to the court order of February 2000 but, when the children reached the age of majority, he reduced the amount of child support payable as the children became independent and moved out on their own. The petitioner takes issue with the respondent's unilateral reduction in child support and submits the children remained children within the meaning of the Divorce Act so long as they were attending university. The parties agree that given the age of the children there has been a change in circumstance sufficient to allow a review of the existing child support order. HELD: 1) The parties agree that Jill, age 26 is no longer a child of the marriage and that Luke, age 21 is not presently a child of the marriage but could once again become a child of the marriage if he attends university in the fall of 2008. The parties also agree Keegan is 18 and remains a child of the marriage by virtue of the fact that he is taking classes at the university. 2) While the respondent asks that he be allowed to pay child support directly to the children, there is nothing in the material filed which would indicate that the petitioner is not providing support to the child in an appropriate fashion. Further, the difficulties that would arise in respect to enforcement of the order if the child support payments were not made directly to the petitioner would mitigate against such a variation.","FIAT: The parties filed an application for an order varying child support. The parties agreed that given the age of the children, and the change in the amount of the husband's income, that there has been a change in circumstances sufficient to allow a review of the existing child support order. HELD: 1)The parties agreed the child support payments would continue until such time as the children are no longer children within the meaning of the Divorce Act.  2)The court ordered that the parties pay monthly child support of $380 per month plus 33% of s. expenses, with such payments to continue on the first day of each and every month until the child, Keegan, is no longer a child of the marriage. 3)The Court ordered that there would be no variation of the arrears to the parties. The Court ordered the parties to pay $1,520 per month in child support until December 2008. The court also ordered that any additional child support be paid directly to the wife.",3.5952561806820373
"The parties were in a relationship for over 5 years though they never married. The petitioner now seeks access to the respondent's daughter from an earlier relationship. The parties' relationship was tumultuous and included some incidents of domestic violence, which the child may have been exposed to. There are concerns regarding the interactions between the respondent's daughter and the petitioner's own children. The petitioner must establish, firstly, that he has 'sufficient interest' to bring this application, per s. 6(1) of The Children's Law Act, 1997. HELD: The application for access is dismissed. In determining whether a non-family applicant is a person with a sufficient interest, the Court must consider a variety of factors including: the extent or degree of the applicant's involvement in the child's life, the duration of that involvement, the level of intimacy and the quality of the relationship between the applicant and the child, how the relationship between the applicant and the child was represented to the world, and whether the applicant provided financially for the child. The petitioner has demonstrated that he is a person of sufficient interest; the relationship between the parties was not short and, during its lifespan, the petitioner formed a close bond with the child and was involved with her life. The community viewed them generally as father and daughter. However, the Court cannot conclude that requiring the child to visit the petitioner would be of any benefit to her. This child has already had to contend with multiple 'fathers' and multiple 'siblings', many of whom have been only temporary or fleeting personalities in her life. The confusion that this has no doubt caused her should not be further compounded by requiring her to make even more adjustments in her understanding of what 'family' means. Access to the petitioner is not in the best interests of this child.","HELD: The Court found that the respondent was a person of sufficient interest. The Court held that because he is a'step-parent' to Trista, he does not need to establish that he falls within the category of persons having a'sufficient interest' to bring this application.  1) The Court considered a variety of factors, but not necessarily limited to: (a) the extent or degree of the relationship between the parties, (b) the level of intimacy and quality of relationship between them, (c) how the relationship was represented to the world, (d) whether the applicant provided financially for the child, and (e) if the respondent provided support to the child during the times that the child was in his or her care.  2) In determining whether a non-family applicant is a person with a sufficient interest, the Court should consider a range of factors including whether the respondent has demonstrated a settled intention to treat the child as his/her own and (f) whether there is a family or blood relationship that can be screened out through the application of s. of the Act.  3) The court reviewed the circumstances of the parties' relationship and found that they had developed a somewhat idyllic relationship. The relationship spanned years 2000 to 2007, commencing when Trista was barely a toddler. Over those years Lawrence provided care for her and was involved in activities with her and her two young children, who were conceived while she was separated from Lawrence.. The Court noted that in other circumstances, and for different purposes such as under The Family Maintenance Act, 1997, supra, applicants '... who do not have both a significant relationship with the child and demonstrated and settled ongoing commitment to this child' should generally be screened in the application. In this case, the court was satisfied that Lawrence had demonstrated that he was a Person of sufficient Interest with respect to the children.  4) It was at this stage of the inquiry that the Court was to determine whether or not access should be granted to the respondent.  5) The relationship, in one form or another, spanned a period of at least five years. Over the years Lawrence supported the family and provided child care when Melodie was working night shifts. The court was also to determine if there was a family member who could be said to have a'reasonable interest' in bringing this application.. 6) It would appear that the threshold for determining that a person has a'sufficiency interest' under the Act is lower than that for the Court",3.3013213180080303
