,generated_summary,oracle,idxes
0,"_ THE COURT OF APPEAL FOR SASKATCHEWANDENNIS BJARNE SORENSON APPELLANT and - HER MAJESTY THE QUEEN RESPONDENTCORAM: The Honourable Chief Justice Bayda The Honourable Mr. Justice Vancise The Honourable Mr. Justice LaneCOUNSEL: D.J.
Sorenson unrepresented D.L.
The appellant appeals the sentence imposed by the trial judge after a trial where he was found guilty of assault contrary to s. 267(1)(b) of the Code.
He was fined $1200, with a surcharge of $120 and placed on probation for 12 months.
The sole issue on the sentence appeal is whether the trial judge erred in not ordering an unconditional discharge in the circumstances of this essentially domestic altercation.
The appellant and his spouse arrived at the Avenue Hotel parking lot in Prince Albert where they by chance encountered his spouse's former husband, John Watson.
Watson had apparently made some threat to the appellant's spouse concerning their children.
The appellant warned Watson to stay away from his spouse and the children and to stay off the Muskoday reserve.
Watson apparently turned towards the appellant with his fists clenched and the appellant struck him.
Watson fell and the appellant kicked him in the groin and walked away.
Watson recovered and attempted to continue the fight but was struck again and then threatened by the appellant.","Warrant issued to search a dwelling house for weapons allegedly used in an attempted armed robbery.
The affidavit in support referred to an unknown informant.
Judge applied the test that the justice of the peace `must be satisfied on reasonable grounds.'
Substantial compliance found and warrant upheld.","[1, 3, 0, 5, 4, 7, 6, 8, 9, 10, 11]"
1,"Q.B.
A.D. 1994 No.
542 J.C.S.
Sandstrom for the applicantsJ.H.
Gillis for the respondentsJUDGMENT HRABINSKY J.
May 27, 1994This is an application for an order setting aside the default judgment and writ of execution issued against the applicants (plaintiffs, defendants by counterclaim) pursuant to Queen's Bench Rule 346 and for an order setting aside all garnishee summonses issued pursuant to Queen's Bench Rule 441 and s. 10 of The Attachment of Debts Act, R.S.S.
1978, c. A- 32.
FACTSThe applicants, acting on their own but with some obvious assistance from a solicitor in the preparation of their statement of claim, commenced an action on February 23, 1994 against the respondents who were represented by counsel.
On March 8 the applicants were served with a notice of intention to defend and on March 14 were served with a statement of defence and counterclaim.
On March 18 the respondents filed two separate affidavits for garnishee summons before judgment naming Bank of Nova Scotia and Saskatoon Credit Union respectively as garnishees.
The applicants did not file a statement of defence to the counterclaim within the time limit.
On the same date the respondents filed a praecipe for writ of execution.","This was an appeal from a decision dismissing the appellant's application for an order in the nature of certiorari to quash the decision of the Social Assistance Appeal Board for the City of Halifax which affirmed the rejection of the appellant's application for municipal social assistance as an expectant mother.
The appellant was a pregnant unmarried 16 year old living with her parents at the time of her application for social assistance.
The trial judge concluded that under Municipal Assistance Policy 1.2.5 the applicant was not eligible since she was not a single head of a family maintaining a home for herself and her dependant child.
Allowing the appeal,
that s. 23(1) of the Social Assistance Act places a mandatory responsibility upon social service committees to provide assistance for all persons in need as defined in s. 19(e) of the Act.
Pursuant to this statute, the City of Halifax has approved municipal assistance policies and Policy 1.2.5 relating to an 'Unmarried Mother - Pending Birth' was intended to set out the circumstances under which an unmarried mother was to be eligible.
It was not intended that the appellant have to be already maintaining a home for herself and one or more dependant children.
In a dissenting opinion, Chipman, J.A. concluded that as the provision with respect to an 'Unmarried Mother - Pending Birth' came under the heading 'Single Head of Family', the provision is merely an extension to include within the definition of a single head of a family an unwed mother whose child is not yet born.
The requirement that she be a single head of a family maintaining a home still stands.","[1, 0, 2, 5, 4, 8, 7, 9, 10, 12, 6, 14]"
2,"QUEEN’S BENCH FOR SASKATCHEWANIN BANKRUPTCY AND INSOLVENCYCitation: 2009 SKQB 201 Date: 2009 06 02 Docket: Court No.
1308 Estate No.
23-022447 Judicial Centre: Regina BETWEEN:VERONICA LEAY ARMBRUSTER APPLICANT - and -KPMG INC., trustee in bankruptcy of the estate of Veronica Leay ArmbrusterRESPONDENTCounsel: Michael J. Krawchuk for the Applicant Murray W. Douglas for the Respondent JUDGMENT WIMMER J. June 2, 2009[1] A bankruptcy petition against the applicant was filed on May 18, 1995 and a receiving order with respect to her property issued the following month.
KPMG Inc. (formerly Peat Marwick Thorne Inc.) is the trustee of her bankrupt estate.
The applicant received an absolute discharge on March 8, 1996.
The trustee has never applied for a discharge.
[2] The trustee did not oppose the applicant’s discharge and in its report, prepared pursuant to s.170 of the Bankruptcy Act, R.S.C.
1985, c. B-3 as am.
by the Bankruptcy and Insolvency Act, S.C. 1992, c. 27, s.2 (the “Act”), stated there were no facts, matters or circumstances that would justify the court in refusing an unconditional order of discharge.
Now, more than 13 years later, there remains an unresolved issue concerning non-exempt equity in the applicant’s homestead.","This was an application for an interim injunction restraining the respondents from further proceedings against the applicant, in particular restraining a sentencing hearing, in respect of charges of professional misconduct.
The application was made pending the outcome of an application for certiorari quashing the decision of the disciplinary panel.
The Appeal Court had refused to issue an interim injunction restraining the disciplinary hearing, holding that the courts should not interfere with the tribunal's proceedings until its completion except in very exceptional circumstances.
In the case at hand, the applicant's counsel had requested an adjournment of the sentencing hearing on the ground that the applicant was medically unable to attend.
The respondent's counsel then sought to settle the matter of penalty by written submission.
The respondent's by-laws respecting penalty provided that the applicant shall be given the opportunity to appear and be heard.
Dismissing the application for an interim injunction,
that because the sentencing hearing was merely an extension of the disciplinary proceedings, rather than a new proceeding, the court was bound by the Appeal Court decision which held that the Court should not interfere with the proceedings of a quasi-judicial or other tribunal by interim injunction or stay except in very exceptional circumstances, which requirement, the Appeal Court had concluded, the applicant did not meet.","[0, 1, 5, 6, 4, 3, 2, 7, 10, 8]"
3,"IN THE PROVINCIAL COURT OF SASKATCHEWANCitation: 2013 SKPC 094Date: July 11, 2013 File: 2013 - 6 Location: Melfort (Carrot River) Between:IN THE MATTER of a hearing under THE CHILD AND FAMILY SERVICES ACT AND IN THE MATTER OF AN APPLICATION PURSUANT TO SECTION 37 OF THAT ACT RESPECTING N.N., born [...], 2005 K.N., born[...], 2008 K.N., born [...], 2009Appearing:Mr. Jonathan Bodvarson For the Nechapanuk Child and Family Services Inc. No one For the parentsThe children are identified by initials for the purposes of protecting their identity.
JUDGMENT B.G.
MORGAN, J INTRODUCTION[1] Nechapanuk Child and Family Services Inc. (the agency) initially applied for a long term order under s. 37(3) of The Child and Family Services Act (the Act) but has amended its application to now apply for an order that the current foster parents be declared as persons having a sufficient interest in all three children under s. 23 of the Act, and an order under s. 37(1)(b) of the Act granting them custody.
Should the amended application be granted?
[2] Pursuant to s. 31 of the Act, an Agreed Statement of Allegations and Admissions was filed at the protection hearing.
That latter statement may not always be true, but it certainly indicates the father’s present view.
A subsequent affidavit of Ms. Melita McKay, a family worker involved with these families, confirms that each of N.N., K.N.","This was an appeal from a judgment refusing to gram certiorari and other relief following findings by the respondent disciplinary panel that the appellant was guilty of professional misconduct.
The appellant sought declaratory relief or relief under s. 24(1) of the Charter.
Dismissing the appeal
that (1) the Charter has no application to this self-regulating body; (2) the panel was properly constituted in accordance with the respondent's by-laws; (3) the panel acted within its jurisdiction; (4) there was no evidence of bad faith on the part of the panel members; (5) the panel complied with the rules of natural justice, and (6) the trial judge, in refusing to grant certiorari, made no errors in so concluding.","[1, 3, 4, 6, 7, 0, 2]"
4,"QUEEN’S BENCH FOR SASKATCHEWANCitation: 2010 SKQB 343 Date: 2010 09 17 Docket: Q.B.G.
No.
247 of 2008 Judicial Centre: SaskatoonBETWEEN: SEAN SCHROEDER, ALLISTER CURTIS VEINOT, and ELEANORE SMIROLDO, as Litigation Guardian for Eden Bobyk Plaintiffs- and -DJO CANADA, INC., DJO, LLC, McKINLEY MEDICAL LLC, McKINLEY MEDICAL CORPORATION and CURLIN MEDICAL INC.
DefendantsBrought under The Class Actions Act, S.S. 2001, c. C‑12.01Counsel:Douglas Lennox and Robert J. Gibbings, Q.C.
for the plaintiffs Gordon J. Kuski, Q.C.
and Amanda Quayle for the defendants, DJO Canada, Inc. and DJO, LLC Peter J. Cavanagh for the defendants, McKinley Medical LLC, McKinley Medical Corporation and Curlin Medical Inc.FIAT POPESCUL J. September 17, 2010[1] By order and judgment dated March 29, 2010, I certified the within action as a class action.
DJO Canada, Inc., DJO, LLC, McKinley Medical LLC, McKinley Medical Corporation and Curlin Medical Inc. sought leave to appeal the certification order to the Court of Appeal pursuant to s. 39(3)(a) of The Class Actions Act, S.S. 2001, c. C-12.01.
A number of grounds of appeal were advanced by the defendants.
[2] On August 26, 2010, Chief Justice Klebuc rendered a decision on the leave application.
All other aspects of the leave to appeal application, including that relating to the breach of duty of care cause of action, were dismissed.","This was an appeal from a conviction for carrying a concealed weapon, a push dagger, contrary to s.89(a) of the Criminal Code.
For the appellant,
that the trial judge failed to consider whether the knife fit the definition of a weapon under s.2 of the Criminal Code and, in addition, failed to satisfy himself that the accused intended to use the dagger to cause injury or death or for the purposes of threatening or intimidating.
The matter was remitted for a new trial.","[0, 1, 3, 4, 7, 2, 8, 6, 5, 10]"
5,"Q.B.
A.D.1993 No.
3889 J.C. R. IN THE QUEEN'S BENCHJUDICIAL CENTRE OF REGINA BETWEEN:MARGARET GORDONPLAINTIFF - and - GABRIEL DUMONT INSTITUTE OF NATIVE STUDIES AND APPLIED RESEARCH, INC.
DEFENDANT William J. Herle for the plaintiffNoel S. Sandomirsky, Q.C.
for the defendant JUDGMENT BARCLAY J.
May 9, 1996 This is a claim for wrongful dismissal.
Gordon is married with three children and is the sole supporter of her family, as her husband is unemployed.
Gordon was born on a reserve near Balcarres where she received her elementary education.
She then studied at the Lebret Indian Residential School.
When she was in Grade 8, she left the school for the city.
While she was in Regina she enrolled in an upgrading adult basic education program for non-status Indians where she received the equivalent of her grade XI.
She also completed an eight month secretarial course.
Gordon was initially hired by the Gabriel Dumont Institute as a Clerk Steno II.
After two years she was promoted to Executive Secretary.
The Gabriel Dumont Institute is the educational institute for the Metis and Non-Status Indians.
This position is one of many reporting to the Director of Native Services Division.
.
.
.","The Crown appealed a decision which overturned the respondent's convictions on charges of operating overweight vehicles contrary to s.172 of the Motor Vehicle Act.
The Court had overturned the convictions on the ground that the reverse onus provision of s.172, respecting the accuracy of the scale, violated s. 11(d) of the Charter.
Allowing the appeal and restoring the convictions,
that the trial judge did not rely on the prima facie effect of the Crown's evidence, but rather had ample evidence concerning the accuracy of the scales upon which to rely.","[1, 0, 5, 4, 3, 2, 13, 12, 8, 19, 7, 14, 9, 22, 23, 24, 11, 16, 10]"
6,"Dated: 20020424 2002 SKCA 56 Docket: 3338THE COURT OF APPEAL FOR SASKATCHEWANCoram: Vancise, Gerwing & Lane JJ.A.
HENRY KENNETH RIPPLINGER and HKR COLLECTIONS FINE ART LIMITEDAPPELLANTS - and -THE SASKATCHEWAN HUMAN RIGHTS COMMISSIONRESPONDENT COUNSEL:Mr. Hal B. Wellsch for the Appellants Mr. Milton C. Woodard, Q.C.
for the Respondent DISPOSITION:On Appeal From: Q.B.M.
492/93 Appeal Heard: April 22, 2002 Appeal Dismissed: April 22, 2002 (orally) Written Reasons: April 24, 2002 Reasons By: The Honourable Mr. Justice Vancise In Concurrence: The Honourable Madam Justice Gerwing The Honourable Mr. Justice LaneVANCISE J.A.
[2] The appellant appeals contending that the Board exceeded its jurisdiction in making the order that it did.
Parties [2] Henry Ripplinger was the registered owner of the property which formed the subject matter of the complaint at the time the original complaint was filed.
The property was subsequently transferred by Mr. Ripplinger to HKR Collections Fine Art Limited, a company of which he is the sole director and in de facto control.
The Board added the company as a party to the proceedings.
They will be referred to collectively as the appellant in this appeal.
Background [3] This matter began in 1991.","The defendant lawyer was retained for the purpose of obtaining and disbursing mortgage funds.
The plaintiffs, creditors of the defendant's client, sued the defendant for negligent misrepresentation, breach of trust and breach of undertaking.
The defendant initially received three irrevocable letters of direction for payment of amounts owing on a construction project.
When the project got into financial difficulty the defendant advised his client to seek separate counsel to deal with the creditors - suppliers.
At a creditors meeting the defendant advised the creditors' counsel of the initial three letters of direction.
The project was considered viable by the creditors and continued, with the defendant obtaining postponements of the three letters of direction.
Further creditors' meetings were held, a Creditors' Committee struck, and subsequent letters of direction sent to the defendant by the client and certain creditors.
The defendant, in acknowledging a subsequent letter of direction, made no mention of the earlier three letters, nor any explanation of 'all of the proceeds'.
One member of the Committee was aware of the initial irrevocable letters of direction.
On what was to be the final mortgage draw, the defendant requested and was refused a postponement of the initial three letters.
With his client's consent, the defendant disbursed the funds, to pay off the initial three creditors, a mechanics' lien referred in one of the subsequent letters of direction, his legal fees and the balance as per a letter of direction received from two of three members of the Creditors' Committee.
Dismissing the action,
that (1) there was no negligent misrepresentation as the creditors had continued to advance supplies, not on the basis of the defendant's letter of acknowledgement, but because they considered the project viable.
Further, certain other plaintiffs were not aware of the letter, and could not have relied on it.
Other plaintiffs did not supply after the letter and therefore did not rely on it.
The Court noted that on a balance of probabilities, the defendant's disbursement did not cause the demise of the project.
At the time of the disbursement the project was still viable and the plaintiffs made their own decision to cease supplying and to lien the project; 
(2) there was no breach of trust as the defendant had no fiduciary duty and had at no time acted for the plaintiffs;
 and  (3) there was no breach of undertaking as the undertaking must be considered in all the circumstances, including knowledge of the plaintiffs, the other letters and meetings.
The Court concluded that the member of the Creditors' Committee who was aware of the initial irrevocable letters had a duty to advise the other members.
The documentation was clear that legal fees would be deducted and the Committee was also aware of the direction to pay the mechanics' lien.","[0, 2, 5, 1, 6, 3, 8, 9, 7, 10]"
7,"PROVINCIAL COURT OF SASKATCHEWANPRINCE ALBERTIN THE MATTER OF INFORMATION #40150828 HER MAJESTY THE QUEEN - and -Gregory G. HuntD E C I S I O N - H.W.
Goliath, P.C.J J. Morrall, CROWN PROSECUTORS, Prince Albert, SK.
FOR THE CROWN.
B.
Lane, BRADLEY AND LANE LAW OFFICE, Shellbrook, SK.
FOR THE DEFENCE.
- - -1.
The defendant driving a 1971 Chrysler Newport was proceeding north on 15th Avenue with the intention of turning left at 15th Street East.
He testified that he stopped at the intersection for about 15 seconds to allow several south-bound vehicles to go by, and then began his left turn.
Before he got through to the turn he saw another on-coming vehicle, this one a 1987 Ford Tempo driven by Adrianna Wormworth.
He says that he saw this vehicle for only a few seconds before the collision.
The Law 3.
Since the defendant turned across the path of the Ford Tempo, and since the two vehicles came into collision, it would appear prima facie that he failed to yield as he was required to do by Section 50(3).
4.
The right of way, however, is not absolute.
As Culliton, J.A.
The duty of the driver with the right of way is well stated by Aylesworth, J.A.","The defendants applied to exclude the plaintiff grandchildren of the deceased from their respective discovery examinations in connection with an action under the Fatal Injuries Act.
Dismissing the application,
that there was insufficient evidence to indicate there would be a violation of an essential of justice if the parties were excluded from hearing each other's testimony.
The only evidence before the court was that the lines of questioning of each grandchild would be identical.
This was insufficient to displace a party's inherent right to attend his co-party's discovery.","[1, 2, 3, 5, 0, 6, 4, 8, 12, 14, 9, 11, 13, 15, 16, 10, 19]"
8,"Q.B.
A.D. 1994 No.
The action has been abandoned as against the defendant Ruhr, and is continued by the plaintiff against the insurer, Saskatchewan Government Insurance.
Mr. Ruhr was solely liable for the accident.
The BMW was damaged as a result of the automobile accident.
The BMW was leased to the plaintiff from Crestview Chrysler Dodge Ltd. (""Crestview"") pursuant to a standard lease agreement.
Pursuant to the terms of the lease agreement, the vehicle was to be registered in the name of Crestview.
The plaintiff was listed as the ""secondary name"" on the registration.
The appraiser determined that the entire exhaust system required replacement.
SGI reassessed the claim to include damages for the replacement of the exhaust system.
However, SGI deducted from the replacement cost, 20% for depreciation or ""betterment"".
This document is normally signed by the registered owner (or owner's agent) of the vehicle.
The plaintiff brings this action for reimbursement of the $503.73 deducted for depreciation.
1978, c. A-35, as am.
(the ""Act"").
SGI denies that it elected to repair or replace the exhaust system within the meaning of statutory condition 8(4).
In addition, SGI argues that it is entitled to deduct for depreciation in any event.
Is SGI estopped from claiming that the plaintiff is responsible for the depreciation?","This was an appeal from a decision varying the appellant's maintenance downwards.
The parties had a traditional marriage, with the wife remaining at home and caring for their three children.
Upon separation, they entered into a settlement agreement whereby maintenance was set al. $2000 monthly while the appellant remained in the matrimonial home.
The agreement stipulated that the settlement was a full and final settlement on all corollary matters between the parties.
The respondent subsequently remarried, underwent some difficult financial times and made the application which was the subject of this appeal.
The appellant contended the terms of the agreement were final.
Per Jones, J.A. and Chipman, J.A. (concurring for separate reasons), allowing the appeal and setting aside the lower court order,
that while courts have ultimate jurisdiction in the matter of support, settlement agreements must be respected.
There is no difference between an agreement which provides for long term maintenance and one that does not contain such a provision.
The effect is to permanently settle the issue in both cases.
To review the agreement, particularly after the lapse of a substantial period of time, could lead to grave injustices to one or both parties.
Per Hallett, J.A., (dissenting), dismissing the appeal, that a settlement agreement which provides for periodic support payments indefinitely is very different than one which contains provisions for termination of support after a specified period.
The causal connection test established in Pelech v. Pelech (1987), 38 D.L.R. (4th) 641, should not apply to payors of periodic support for an indefinite period.
Such agreements do not have the degree of finality that was effected by the settlement agreement under consideration in the Pelech decision.","[1, 0, 10, 3, 18, 27, 34, 5, 31, 8, 17, 20, 33, 6, 40, 38, 44, 7]"
9,"Q.B.M.
A.D. 1994 No.
001581 J.C.M.
for the applicant (respondent) JUDGMENT KLEBUC J.August 6, 1996Sophie Landell has two parents who both love her but who demean the capability and intentions of each other.
Each parent seeks the custody of Sophie on the grounds that he or she is best able to meet Sophie's needs.
Thus, the central issue is what custody arrangement would be in Sophie's best interest.
FACTSDuring the trial each parent presented volumes of evidence respecting the shortcomings of the other, all with the view of discrediting the other's ability to act as the custodial parent for Sophie.
To review all of such evidence presented during the five-day trial would be unproductive and lead to a prolix judgment.
Lorne is 33 years of age and suffers from injuries he sustained in a motor vehicle accident on February 12, 1991.
His injuries do not hinder his parenting capacity.
Tracy is 28 years of age, works 48 to 50 hours a month for a modest salary, and is dependent on social assistance.
During their cohabitation, both engaged in the consumption of alcohol and used prohibited substances.
Of those incidents, only one took place after Sophie's birth.
Tracy became pregnant in late 1992.","The applicant sought an order for certiorari quashing a decision of the trial judge granting an adjournment and a prohibition from hearing the trial.
In earlier hearings, the Crown and applicant had each sought new trial dates to ensure procurement of witnesses for trial.
The Crown sought to subpoena the victim to testify.
Due to the delay in obtaining authority to serve an out of town subpoena in New Brunswick, the Crown was unable to serve the victim until three days before trial.
The victim did not learn of the trial date until the day before and was unable to attend.
An adjournment was granted.
The applicant contended the trial judge had exceeded his jurisdiction.
Dismissing the application.
It is within the jurisdiction of the trial judge to deal with the issue of adjournments in accordance with the provisions of the Criminal Code.
Jurisdictional error is not to be equated with error of law.
Any decision to grant an adjournment is therefore within the court's proper discretion.
If a remedy exists, it is by way of an appeal and not a prerogative writ.
In any event, the sequence of events was sufficient to justify the granting of an adjournment.
There was neither neglect nor laches on the part of the Crown.","[0, 1, 2, 5, 4, 6, 10, 7, 8, 12, 16, 13, 18, 19]"
