,generated_summary,oracle,idxes
0,"[1] At issue on this application is the interim custody of Keanna Marie James (Ross), child of the petitioner Christine James and the respondent Ryan Ross (Rollheiser) and, child support.
In May of 1999, Keanna was born.
Although there is conflicting affidavit evidence with regard to the date the parties ceased to cohabit, it is somewhere in the period between October of 1999 and April of 2000.
The respondent has had access.
She states that the parties had an arrangement from the outset whereby the respondent would see Keanna every second weekend and that is what happened.
[5] have also reviewed the various affidavits of some of the family members and relatives of the parties.
find the respondent’s income for the purposes of interim child support to be $23,175.00.
[18] find the petitioner’s income for the purposes of interim child support to be $4,921.96 (the average of her 2000 and 2001 income).
[19] find the child care costs to be $125.00 per month.
The respondent shall pay his proportionate share of childcare costs (being 82.5%) in the amount of $103.00 per month commencing with $206.00 payable forthwith for October and November, 2003 and like amount on the first day of each month thereafter until further order.","At issue was the interim custody of the child and child support.
HELD: Interim custody was given to the petitioner with access to the respondent.
The respondent was ordered to pay interim child support in the amount of $193 per month.
On an interim custody application, the Court must take into account the status quo.","[86, 88, 6, 3, 10, 0, 89, 4, 90, 13]"
1,"THE COURT: Appeal dismissed per oral reasons for judgment of Jones, J.A.; Chipman and Freeman, JJ.A. concurring.
The subsection provides:
(3) Subject to subsection (3.1), where an accused is charged with an offence under section 151, 152, 153, 155, 159, 160, 170, 171, 172, 173, 271, 272, 273, 346 or 347, the presiding judge or justice may make an order directing that the identity of the complainant or of witness and any information that could disclose the identity of the complainant or witness shall not be published in any document or broadcast in any way.
The reasons for judgment of the Court were issued orally by:
These assaults took place in trailer where the two girls, at the time, were living with their mother who was in common‑law relationship with G.A.L..
There was one incident of fondling of the breast of S.S. when she was between 14 and 17 and on another occasion, an attempt to pull down the zipper on her pants.
THE SUPREME COURT OF NOVA SCOTIA
PLACE HEARD: Truro, Nova Scotia
COUNSEL: Susan MacKay, for the Crown
Cameron S. McKinnon, for the Defendant
CASE ON APPEAL
and HER MAJESTY THE QUEEN
Respondent REASONS FOR JUDGMENT BY: JONES, J.A. (orally)","The appellant was convicted of indecent assault against two young girls.
He appealed on five grounds related to a substantial conflict in the evidence.
Dismissing the appeal,
that there was no error on the part of the trial judge in weighing the evidence.","[0, 38, 37, 41, 2, 4, 40, 34, 3, 8, 36, 6, 31]"
2,"[1] W.R.T. Equipment Ltd. (“W.R.T.” or the “Company”) applies for an order granting court approval of a proposal made by it to its creditor (the “W.R.T. Proposal” or “Proposal”) pursuant to Part III of Division I of the Bankruptcy and Insolvency Act, R.S.C. 1985, c. B-3 (the “BIA”).
[2] Section 59 of the BIA governs applications for approval of an insolvent person’s Proposal under the BIA and it provides as follows:
(1) The court shall, before approving the proposal, hear report of the trustee in the prescribed form respecting the terms thereof and the conduct of the debtor, and, in addition, shall hear the trustee, the debtor, the person making the proposal, any opposing, objecting or dissenting creditor and such further evidence as the court may require.
[3] Mr. Jeffrey Pinder, chartered insolvency and restructuring practitioner and principal of the firm, Jeffrey Pinder Associates Inc., trustee licensed in bankruptcy pursuant to the BIA has been appointed by the Company to act as trustee of its Proposal (the “Trustee”).
Since filing the Proposal with the Official Receiver for the Saskatoon Bankruptcy District on November 12, 2002, two meetings of the creditors were held on December 3, 2002 and December 17, 2002.
At the December meeting approximately 93 percent of W.R.T.’s creditors who had proven claims voted in favour of accepting the Proposal.","The company applied for an order granting court approval of a proposal made by its creditor pursuant to Part III of the Bankruptcy and Insolvency Act.
A former 28-year employee objected on the grounds pension plan members should be treated as a different class of creditor rather than under the unsecured creditor classification ascribed to them by the proposal; the indemnification of past directors under the terms of the proposal was inappropriately wide.
He submitted the unfunded pension liabilities constitute trust funds pursuant to provincial pension legislation (the Pension Benefits Act s.43(3)) and as such the pension fund claimants are entitled to preferred or secured creditor status.
HELD: The Proposal was accepted.
 1)Provincially created statutory trusts such as the one created by the Pensions Benefits Act are not recognized in bankruptcy including Proposals submitted under the BIA.
The Trustee and the company acted appropriately in identifying the nature and status of the pensioners' claims.
Although it might have reflected the status of his claim against the employer outside the BIA, the specific objection did not constitute a valid ground of legal objection to the Proposal.
2)The Proposal met the statutory and judicial criteria for acceptance by the Court.
The Court takes into account the interests of the debtor, general body of creditors and the public at large in maintaining the integrity of the bankruptcy legislation.
Of the 15 employees in the same position, 12 voted in favour of the proposal, 2 failed to file proofs of their claims; 89 percent of all creditors voted in favour of acceptance.
 3)Each party was to assume their own costs of the hearing.","[1, 0, 2, 4, 6, 5]"
3,"Counsel: Bernadette Macdonald for the Crown
Christopher Manning for the Defence
The total amount of money involved for all five counts exceeds $64,000.
He used his position of authority as police chief to commit these crimes.
The principles of sentencing that have developed over the years in this Country have recently been codified.
They are set out in s. 718 of the Criminal Code of Canada.
The relevant subsections are:
(c) to separate offenders from society, where necessary;
(d) to assist in rehabilitating offenders;
Your sentence Mr. Crowell must serve as a message of deterrence to all individuals holding positions of authority.
Peace officers serve on the front line of our justice system.
Their integrity must be beyond reproach.
Your unlawful conduct must be denounced by significant period of incarceration To do otherwise would be serious disservice to the statutory principles that have just referred to.
In light of all the circumstances of this case am prepared to accept the joint recommendation of counsel calling for combined sentence of twenty months.
make no recommendation to the Correction Services as to where you will be incarcerated or when, if at all, you would receive temporary leaves of absence.
It is within their bailiwick to determine those two issues.","The offender, a former police chief, plead guilty to five theft related charges.
The amount of money involved for all five counts was $64,000.
He used his position of authority as police chief to commit the crimes.
The offender did not have a criminal record.
The offences were premeditated, and directed against trusting and well-intentioned organizations.
Sentencing the offender to four months consecutive imprisonment on each count, for a total of twenty months, and ordering restitution to the victims,
 that the sentence must serve as a message of deterrence to all individuals who hold positions of trust and authority.
This message is particularly important to police officers, whose integrity must be beyond reproach.","[0, 1, 13, 85, 4, 82, 14, 9, 8, 79, 87, 7, 81, 6, 74, 78]"
4,"[1] The issue is whether the pro rata distribution of purchase money proceeds and non‑purchase money proceeds in any deficiency judgment pursuant to judicial sale extends to the total outstanding amount of the mortgage.
Partridge had originally executed mortgage for $191,000, of which $176,000 was advanced to purchase her condominium unit and $15,000 was advanced for other purchases.
Thus, the non‑purchase money portion of the loan advanced and secured by the mortgage was 8% of the total mortgage.
This sum is referred to as the “net sale proceeds” to be distributed pro rata as directed by Walker at paragraph 35.
[5] As at November 1, 2017, the amount of principal and interest owing on the non‑purchase money portion of the mortgage was $21,256.86.
I find that RBC is entitled to a deficiency judgment for principal and interest owed under the mortgage in the amount requested.
RBC should not have the solicitor‑client costs prorated in accordance with the non‑purchase money portion of the mortgage.
The protection of s. of the LCRA continues to apply to only that portion of the mortgage loan that was given to secure the purchase price of the land.
[15] Counsel for RBC is directed to prepare draft judgment for my consideration in accordance with the terms of this order.
A.R. Rothery","Statutes – Interpretation – Limitation of Civil Rights Act, Section 2The plaintiff bank applied by notice of application for a deficiency judgment against the defendant pertaining to the non-purchase money portion of the outstanding indebtedness to the plaintiff pursuant to her mortgage and to some other costs related to the mortgage.
The original mortgage executed by the plaintiff was for $191,000 of which $176,000 was advanced to purchase her condominium and $15,000, eight per cent of the total, was advanced for other purchases.
The property sold for $156,000 pursuant to a judicial sale.
The sale proceeds were distributed to pay outstanding property taxes, commission, and the principal and interest due under the mortgage in the amount of $141,945 and the net sale proceeds were to be distributed pro rata.
As at November 1, 2017, the principal and interest owing on the non-purchase money portion of the mortgage was $21,250.
The plaintiff requested judgment for the deficiency in the amount of $9,900 with interest to the date of judgment.
It claimed it was entitled to solicitor-client costs and other costs accrued by it under the mortgage.
The issue was whether such costs should be subject to the pro rata calculation for the nonpurchase portion of the mortgage, that is, 8 percent of the total costs incurred.
 HELD: The application was granted.
The court found that the plaintiff was entitled to a deficiency judgment for principal and interest owed under the mortgage in the amount requested.
It was also entitled to judgment against the mortgagee for eight percent of the solicitor-client costs, condominium fees and property management charges.","[0, 7, 42, 8, 11, 47, 48, 12, 39, 15]"
5,"Mr. Stonechild was in extremely poor physical condition and blind in one eye.
[7] What transpired next between Constable Power and Mr. Stonechild was captured on video by the BDU security camera.
The video shows that after Constable Power arrived in his police vehicle, he exited from the driver’s door.
If so, this was in error as the extent of Mr. Stonechild’s injuries does not indicate whether more force than necessary was used (R Piapot at para 45).
SCR 347). Moreover, even under his own analysis, the trial judge failed to consider the very relevant circumstance of Mr. Stonechild’s medical status as HIV and Hepatitis positive in his assessment of the potential for harm to be done by the assault.
[96] Ultimately, as the appeal court judge observed, because the trial judge erred in his approach in these ways, the trial judge failed to see the push-kick as an objectively reasonable and proportionate response in all of the circumstances of this matter.
In short, Constable Power had to react almost instantly to the threat he felt Mr. Stonechild posed to his person—there can be no question of the constable’s subjective belief in this regard.
Given this, an acquittal ought to be entered on the charge of assault causing bodily harm contrary to s. 267(b) of the Criminal Code.","HELD: The majority of the court granted leave to appeal and restored the conviction entered by the trial judge.
The parties and court agreed that the provisions of s. 34(1) as they read prior to May 2012 were applicable.
The issues were determined as follows: 1) the appeal court judge erred by misunderstanding the applicable test and inappropriately focusing on the respondent’s belief.
The appeal court judge reviewed cases that led him to focus on the doctrine of mistake of fact, which was not argued by the respondent at trial and were not part of his grounds of appeal; 2) the trial judge accepted some but not all of the expert’s evidence, as he was entitled to do.
The trial judge also reinterpreted the video evidence, which was found to be an error by the Court of Appeal.
The trial judge considered the factors without weighing the use of force to a nicety.
He was determining the objective reasonableness of the force based on the factors; and 3) the appeal court judge properly instructed himself on the standard of review but failed to analyze the decision of the trial judge based on that standard, namely, whether the evidence was reasonably capable of supporting the trial judge’s conclusion based on the evidence as a whole.
The dissenting judge would have granted leave to appeal but then would have dismissed the appeal.
The dissenting judge of the Court of Appeal found that the appeal court judge erred in his approach but reached the right conclusion that the trial judge erred.
The trial judge ignored the fact that the encounter was only three seconds long and he mischaracterized the thrust-kick as extreme force.
The respondent had to react quickly.
The trial judge also erred in questioning whether the respondent honestly believed he was in danger of harm.","[585, 9, 31, 582, 594, 588, 32, 571]"
6,"Location: Saskatoon
Appearing: Ms. Rock For the Crown
Mr. Roe For the Accused
JUDGMENT B.M. SINGER,
[3] The police got involved with the Accused as result of complaint of Ms. Anna Krakowetz.
She then went outside and the vehicle left, again she only saw the back of the driver’s head and assumed, but could not be sure, it was the Accused.
Conversely the Court went on to say, “... deliberate and egregious police conduct that severely impacted the Accused’s protected interests may result in exclusion, notwithstanding that the evidence may be reliable.”
[35] I have determined in this case that the breaches were numerous and point to ignorance on the part of the police as to the distinction between their powers upon arrest and their powers upon investigative detention.
The police were mistaken and as result wilfully set out to ignore the Accused’s rights.
The search and seizure of the keys and fob had impact on the case.
They were used to identify the Accused’s vehicle and the Accused as possible driver of that vehicle.
I therefore exclude the evidence of the fob and keys.
[37] As a result the Accused is found not guilty of both charges before me.","The accused's neighbour disliked the accused and alleged that the accused drove his vehicle into hers.
The police arrested the accused and found a fob that operated the locks on the doors of the vehicle and the engine hood of the accused's vehicle was warm.
The accused was charged with hit and run and impaired driving.
HELD: The Court found the accused not guilty of both charges.
The Court found that the police breaches of the accused's Charter rights were numerous.
The approximate 11 minutes of investigative detention was not an infringement of his rights but the combination of the officers' failing to inform the accused of the reason for his arrest and not giving his rights to counsel without delay, coupled with the illegal search and seizure of the fob and keys were in total breaches serious enough to bring the administration of justice into disrepute.
The Court excluded the evidence of the fob and keys which further weakened the circumstantial case against the accused to the extent that the Crown failed to prove the accused was the operator of the motor vehicle.","[146, 141, 143, 142, 4, 19, 5, 12, 136, 137, 140, 3, 0]"
7,"THE COURT: Leave to appeal is granted, the appeal is allowed and a new trial ordered per oral reasons for judgment of Jones, J.A.;
This is an application for leave to appeal from a decision of Mr. Justice MacLellan in the Supreme Court dismissing an appeal from the appellant\'s conviction under s. 253(b) of the Criminal Code.
The Crown adduced evidence before Judge Clyde F. MacDonald in Provincial Court of breathalyzer readings of 110 and 120 milligrams.
In addition to the evidence of the appellant an expert employed by the R.C.M. Police was called by the appellant to show what effect the alcohol consumed by the appellant would have on the appellant's ability to drive when stopped by the police.
The trial judge concluded on the evidence that the blood alcohol level at the time of the test was different from the time of the offence.
Based on St. Pierre he concluded that the Crown could not rely on the presumption of identity.
I've made ruling that the Crown cannot rely on the presumption of identity, but indeed, that's not the end of the matter.
PROVINCE OF NOVA SCOTIA
HEARD ON: SEPTEMBER 21 AND 22, 1995
DATE OF DECISION: DECEMBER 12, 1995
COUNSEL: PETER ROSINSKI, FOR THE CROWN
BETWEEN: RONALD ALBERT FOX
and HER MAJESTY THE QUEEN
JUDGMENT BY: JONES, J.A.","The appellant was convicted of failing a breathalyzer test.
The trial judge concluded on the evidence that the blood alcohol level at the time of the offence was different from the time of the offence, and found that the Crown could not rely on the presumption of identity.
He ruled, however, that they could rely on the presumption of accuracy, and placed an onus on the appellant to raise a reasonable doubt on the whole of the evidence.
The appellant appealed.
Allowing the appeal and ordering a new trial,
that the trial judge committed a fundamental error of law by ruling that when the Crown is forced to rely on the balance of the evidence, the accused must raise a reasonable doubt, a burden that clearly remains on the Crown.","[0, 3, 11, 76, 74, 67, 69, 68, 73, 7, 4, 60, 12, 15]"
8,"[1] The applicant asks that the registration of mortgage against land be discharged on the basis that the limitation period to enforce the mortgage has expired.
This issue and the interpretations in question have not previously been considered by this court.
[3] In 1981 Kenneth Roebuck mortgaged the subject land to the respondent to secure the repayment of then $36,000 debt.
It set out repayment schedule for the payment of this balance.
It does not limit the limitation period the respondent would otherwise have had available to commence his foreclosure action.
Indeed, since the applicable limitation period would have expired on March 1, 2006, but for the filing of the respondent`s notice of intention, the respondent effectively extended his limitation period to March 1, 2009.
But, mortgagees wishing to keep the limitation period stopped must act within the specified periods.
If they let the three-year period expire without making an application, the notice of intention and the resulting stopping of the limitation period clock both expire.
Conclusion [35] Having concluded that the limitation period for the commencement of an action to enforce the respondent`s mortgage has expired, it follows, for the reasons outlined in para. 13 above that the registration of the mortgage must be ordered discharged as requested.
(1) The Registrar be directed to discharge Interest Register No. 106597705 from title to the property legally described as follows:
Extension As described on Certificate of Title 77B11021; and","Limitation of Actions – Mortgage – Saskatchewan Farmland SecurityHELD: When s. 12 of The Saskatchewan Farm Security Act was enacted it was the legislature’s intention that a mortgagee, to whom The Saskatchewan Farm Security Act applied, could suspend the limitation period clock from running and after serving a notice of intention to enforce its security, provided that within three years of such service the mortgagee made application to the court for an order under s. 11 permitting it to commence an enforcement action.
If the three years for making such an application expires without an application being made, the limitation period begins to run again.
The notice of extension in this case expired in 2009 and the limitation clock began to run again.
The limitation period for the commencement of an action to enforce the respondent’s mortgage has expired and the registration of the mortgage is ordered discharged.","[130, 123, 1, 118, 5, 9, 4, 119, 127, 122, 126]"
9,"Location: Prince Albert
Between: Her Majesty the Queen
and Chisum Log Homes and Lumber Ltd., Corporation 309621
And Garry Varga
I. INTRODUCTION
Chisum buys wood from area operators to be used in its packages.
They sell this wood to pulp mills, saw mills and other customers such as Chisum.
and have both Forest Management Agreement and Forest Product Processing Facility Licence.
[3] Specifically in August to September, 2007, delivered logs to Chisum.
[24] As indicated by the Crown the purpose of The Forest Resources Management Act, F-19.1 is stated in s. 3:
However, can not say that it is reasonable to restrict the legislation to the point that only one processing facility is required to be licenced for the manufacture of forest product.
[28] Paragraphs and of the Agreed Statement of Facts refer to Chisum acting under the direction of Garry Varga.
[1] Brief of Law on Behalf of the Crown, dated September 24, 2008, paragraph 31.
[3] Ibid, page 9, lines to 10.
[4] Brief on Behalf of the Defendant, Garry Varga, carrying on business as Chisum Log Homes Lumber Ltd., paragraph 30.
[6] Driedger on the Construction of Statutes, Ruth Sullivan, Third Edition, Butterworths Canada Ltd. 1994, Toronto, and Vancouver, pages 85 and 86.","The accused, Chisum Log Homes and its sole director Gary Varga, are charged with operating a processing facility without a licence contrary to s. 18.1(1) of The Forest Resources Management Act.
The accused corporation assembles log home packages.
The packages are sold to customers across Canada.
The accused corporation buys wood from area operators such as L&amp;M to be used in its packages.
L&amp;M through its contractor P&amp;E, harvest wood from the forest and sell the wood to pulp mills, saw mills and other customers such as the accused.
These area operators and their contractors have Forest Management Agreements and Forest Product Processing Facility Licences.
In August and September 2007, the area operator L&amp;M delivered logs to the accused.
The accused took additional steps to prepare the logs for inclusion in their log home packages which they sold.
The accused does not have a Forest Product Processing Facility Licence.
The issue in this case is whether the Crown has shown that the accused requires such a licence.
HELD: 1)
The definition of 'manufacture' in the Act is extremely broad as it says, 'means any step taken'.
Given this definition is not difficult to find based on the evidence presented that the steps taken by the contractor in cutting the logs is more than simply harvesting as it is defined in the legislation.
See R. v. Provincial Forest Products, 2000 SKQB 371.
2) The Court is satisfied that the accused corporation, Chisum, took steps to manufacture the forest product for the log home market.
Steps such as debarking were steps taken in the manufacture of a forest product for market.
 3) Given the wide definition it is the Court's view that many facilities, including a retail lumberyard, could be captured within the definition.
Given the stated purpose of the Act, it is appropriate that the requirement for a Processing Facility Licence be restricted so that it does not apply to every entity that manufactures a forest product. 4)
The processes Chisum is involved in encompass the substantial conversion of the forest product into logs to be used in the log home industry.
The process is not insignificant, nor is it a process which is removed from the sustainable use of forest lands and the need to maintain and enhance the health of forest lands.
The Court concludes that Chisum was required to have a Processing Facility Licence.
5) Pursuant to s. 81 of the Act, Gary Varga, as President of Chisum, is also guilty of violating s. 18.1 of the Act.","[12, 160, 7, 15, 157, 162, 140, 1, 143, 152, 3, 2, 0, 159, 18, 17]"
